title,abstract,field,
CAPSTONE: Curriculum Sampling for Dense Retrieval with Document Expansion,"The dual-encoder has become the de facto architecture for dense retrieval.
Typically, it computes the latent representations of the query and document
independently, thus failing to fully capture the interactions between the query
and document. To alleviate this, recent research has focused on obtaining
query-informed document representations. During training, it expands the
document with a real query, but during inference, it replaces the real query
with a generated one. This inconsistency between training and inference causes
the dense retrieval model to prioritize query information while disregarding
the document when computing the document representation. Consequently, it
performs even worse than the vanilla dense retrieval model because its
performance heavily relies on the relevance between the generated queries and
the real query.In this paper, we propose a curriculum sampling strategy that
utilizes pseudo queries during training and progressively enhances the
relevance between the generated query and the real query. By doing so, the
retrieval model learns to extend its attention from the document alone to both
the document and query, resulting in high-quality query-informed document
representations. Experimental results on both in-domain and out-of-domain
datasets demonstrate that our approach outperforms previous dense retrieval
models.",dense retrieval,
Attack-Agnostic Adversarial Detection,"The growing number of adversarial attacks in recent years gives attackers an
advantage over defenders, as defenders must train detectors after knowing the
types of attacks, and many models need to be maintained to ensure good
performance in detecting any upcoming attacks. We propose a way to end the
tug-of-war between attackers and defenders by treating adversarial attack
detection as an anomaly detection problem so that the detector is agnostic to
the attack. We quantify the statistical deviation caused by adversarial
perturbations in two aspects. The Least Significant Component Feature (LSCF)
quantifies the deviation of adversarial examples from the statistics of benign
samples and Hessian Feature (HF) reflects how adversarial examples distort the
landscape of the model's optima by measuring the local loss curvature.
Empirical results show that our method can achieve an overall ROC AUC of 94.9%,
89.7%, and 94.6% on CIFAR10, CIFAR100, and SVHN, respectively, and has
comparable performance to adversarial detectors trained with adversarial
examples on most of the attacks.",adversarial attack detection,
Addressing Gap between Training Data and Deployed Environment by On-Device Learning,"The accuracy of tinyML applications is often affected by various
environmental factors, such as noises, location/calibration of sensors, and
time-related changes. This article introduces a neural network based on-device
learning (ODL) approach to address this issue by retraining in deployed
environments. Our approach relies on semi-supervised sequential training of
multiple neural networks tailored for low-end edge devices. This article
introduces its algorithm and implementation on wireless sensor nodes consisting
of a Raspberry Pi Pico and low-power wireless module. Experiments using
vibration patterns of rotating machines demonstrate that retraining by ODL
improves anomaly detection accuracy compared with a prediction-only deep neural
network in a noisy environment. The results also show that the ODL approach can
save communication cost and energy consumption for battery-powered Internet of
Things devices.",on-device learning,
LSCDiscovery: A shared task on semantic change discovery and detection in Spanish,"We present the first shared task on semantic change discovery and detection
in Spanish and create the first dataset of Spanish words manually annotated for
semantic change using the DURel framework (Schlechtweg et al., 2018). The task
is divided in two phases: 1) Graded Change Discovery, and 2) Binary Change
Detection. In addition to introducing a new language the main novelty with
respect to the previous tasks consists in predicting and evaluating changes for
all vocabulary words in the corpus. Six teams participated in phase 1 and seven
teams in phase 2 of the shared task, and the best system obtained a Spearman
rank correlation of 0.735 for phase 1 and an F1 score of 0.716 for phase 2. We
describe the systems developed by the competing teams, highlighting the
techniques that were particularly useful and discuss the limits of these
approaches.",semantic change detection,
MotionDeltaCNN: Sparse CNN Inference of Frame Differences in Moving Camera Videos,"Convolutional neural network inference on video input is computationally
expensive and requires high memory bandwidth. Recently, DeltaCNN managed to
reduce the cost by only processing pixels with significant updates over the
previous frame. However, DeltaCNN relies on static camera input. Moving cameras
add new challenges in how to fuse newly unveiled image regions with already
processed regions efficiently to minimize the update rate - without increasing
memory overhead and without knowing the camera extrinsics of future frames. In
this work, we propose MotionDeltaCNN, a sparse CNN inference framework that
supports moving cameras. We introduce spherical buffers and padded convolutions
to enable seamless fusion of newly unveiled regions and previously processed
regions -- without increasing memory footprint. Our evaluation shows that we
outperform DeltaCNN by up to 90% for moving camera videos.",sparse CNN inference,
Power Bundle Adjustment for Large-Scale 3D Reconstruction,"We introduce Power Bundle Adjustment as an expansion type algorithm for
solving large-scale bundle adjustment problems. It is based on the power series
expansion of the inverse Schur complement and constitutes a new family of
solvers that we call inverse expansion methods. We theoretically justify the
use of power series and we prove the convergence of our approach. Using the
real-world BAL dataset we show that the proposed solver challenges the
state-of-the-art iterative methods and significantly accelerates the solution
of the normal equation, even for reaching a very high accuracy. This
easy-to-implement solver can also complement a recently presented distributed
bundle adjustment framework. We demonstrate that employing the proposed Power
Bundle Adjustment as a sub-problem solver significantly improves speed and
accuracy of the distributed optimization.",large-scale 3D reconstruction,
Exploring Cross-lingual Textual Style Transfer with Large Multilingual Language Models,"Detoxification is a task of generating text in polite style while preserving
meaning and fluency of the original toxic text. Existing detoxification methods
are designed to work in one exact language. This work investigates multilingual
and cross-lingual detoxification and the behavior of large multilingual models
like in this setting. Unlike previous works we aim to make large language
models able to perform detoxification without direct fine-tuning in given
language. Experiments show that multilingual models are capable of performing
multilingual style transfer. However, models are not able to perform
cross-lingual detoxification and direct fine-tuning on exact language is
inevitable.",cross-lingual detoxification,
Modular Domain Adaptation,"Off-the-shelf models are widely used by computational social science
researchers to measure properties of text, such as sentiment. However, without
access to source data it is difficult to account for domain shift, which
represents a threat to validity. Here, we treat domain adaptation as a modular
process that involves separate model producers and model consumers, and show
how they can independently cooperate to facilitate more accurate measurements
of text. We introduce two lightweight techniques for this scenario, and
demonstrate that they reliably increase out-of-domain accuracy on four
multi-domain text classification datasets when used with linear and contextual
embedding models. We conclude with recommendations for model producers and
consumers, and release models and replication code to accompany this paper.",Domain Adaptation Text Classification,
CUNI Systems for the WMT22 Czech-Ukrainian Translation Task,"We present Charles University submissions to the WMT22 General Translation
Shared Task on Czech-Ukrainian and Ukrainian-Czech machine translation. We
present two constrained submissions based on block back-translation and tagged
back-translation and experiment with rule-based romanization of Ukrainian. Our
results show that the romanization only has a minor effect on the translation
quality. Further, we describe Charles Translator, a system that was developed
in March 2022 as a response to the migration from Ukraine to the Czech
Republic. Compared to our constrained systems, it did not use the romanization
and used some proprietary data sources.",machine translation,
"C$^3$Fusion: Consistent Contrastive Colon Fusion, Towards Deep SLAM in Colonoscopy","3D colon reconstruction from Optical Colonoscopy (OC) to detect non-examined
surfaces remains an unsolved problem. The challenges arise from the nature of
optical colonoscopy data, characterized by highly reflective low-texture
surfaces, drastic illumination changes and frequent tracking loss. Recent
methods demonstrate compelling results, but suffer from: (1) frangible
frame-to-frame (or frame-to-model) pose estimation resulting in many tracking
failures; or (2) rely on point-based representations at the cost of scan
quality. In this paper, we propose a novel reconstruction framework that
addresses these issues end to end, which result in both quantitatively and
qualitatively accurate and robust 3D colon reconstruction. Our SLAM approach,
which employs correspondences based on contrastive deep features, and deep
consistent depth maps, estimates globally optimized poses, is able to recover
from frequent tracking failures, and estimates a global consistent 3D model;
all within a single framework. We perform an extensive experimental evaluation
on multiple synthetic and real colonoscopy videos, showing high-quality results
and comparisons against relevant baselines.",3D colon reconstruction,
LatentKeypointGAN: Controlling Images via Latent Keypoints -- Extended Abstract,"Generative adversarial networks (GANs) can now generate photo-realistic
images. However, how to best control the image content remains an open
challenge. We introduce LatentKeypointGAN, a two-stage GAN internally
conditioned on a set of keypoints and associated appearance embeddings
providing control of the position and style of the generated objects and their
respective parts. A major difficulty that we address is disentangling the image
into spatial and appearance factors with little domain knowledge and
supervision signals. We demonstrate in a user study and quantitative
experiments that LatentKeypointGAN provides an interpretable latent space that
can be used to re-arrange the generated images by re-positioning and exchanging
keypoint embeddings, such as generating portraits by combining the eyes, and
mouth from different images. Notably, our method does not require labels as it
is self-supervised and thereby applies to diverse application domains, such as
editing portraits, indoor rooms, and full-body human poses.",Generative adversarial network,
Planning with Spatial-Temporal Abstraction from Point Clouds for Deformable Object Manipulation,"Effective planning of long-horizon deformable object manipulation requires
suitable abstractions at both the spatial and temporal levels. Previous methods
typically either focus on short-horizon tasks or make strong assumptions that
full-state information is available, which prevents their use on deformable
objects. In this paper, we propose PlAnning with Spatial-Temporal Abstraction
(PASTA), which incorporates both spatial abstraction (reasoning about objects
and their relations to each other) and temporal abstraction (reasoning over
skills instead of low-level actions). Our framework maps high-dimension 3D
observations such as point clouds into a set of latent vectors and plans over
skill sequences on top of the latent set representation. We show that our
method can effectively perform challenging sequential deformable object
manipulation tasks in the real world, which require combining multiple tool-use
skills such as cutting with a knife, pushing with a pusher, and spreading the
dough with a roller.",deformable object manipulation,
1st Place Solution of The Robust Vision Challenge 2022 Semantic Segmentation Track,"This report describes the winning solution to the Robust Vision Challenge
(RVC) semantic segmentation track at ECCV 2022. Our method adopts the
FAN-B-Hybrid model as the encoder and uses SegFormer as the segmentation
framework. The model is trained on a composite dataset consisting of images
from 9 datasets (ADE20K, Cityscapes, Mapillary Vistas, ScanNet, VIPER, WildDash
2, IDD, BDD, and COCO) with a simple dataset balancing strategy. All the
original labels are projected to a 256-class unified label space, and the model
is trained using a cross-entropy loss. Without significant hyperparameter
tuning or any specific loss weighting, our solution ranks the first place on
all the testing semantic segmentation benchmarks from multiple domains (ADE20K,
Cityscapes, Mapillary Vistas, ScanNet, VIPER, and WildDash 2). The proposed
method can serve as a strong baseline for the multi-domain segmentation task
and benefit future works. Code will be available at
https://github.com/lambert-x/RVC_Segmentation.",multi-domain semantic segmentation,
Oracles & Followers: Stackelberg Equilibria in Deep Multi-Agent Reinforcement Learning,"Stackelberg equilibria arise naturally in a range of popular learning
problems, such as in security games or indirect mechanism design, and have
received increasing attention in the reinforcement learning literature. We
present a general framework for implementing Stackelberg equilibria search as a
multi-agent RL problem, allowing a wide range of algorithmic design choices. We
discuss how previous approaches can be seen as specific instantiations of this
framework. As a key insight, we note that the design space allows for
approaches not previously seen in the literature, for instance by leveraging
multitask and meta-RL techniques for follower convergence. We propose one such
approach using contextual policies, and evaluate it experimentally on both
standard and novel benchmark domains, showing greatly improved sample
efficiency compared to previous approaches. Finally, we explore the effect of
adopting algorithm designs outside the borders of our framework.",Stackelberg equilibria search,
Randomized Smoothing under Attack: How Good is it in Pratice?,"Randomized smoothing is a recent and celebrated solution to certify the
robustness of any classifier. While it indeed provides a theoretical robustness
against adversarial attacks, the dimensionality of current classifiers
necessarily imposes Monte Carlo approaches for its application in practice.
This paper questions the effectiveness of randomized smoothing as a defense,
against state of the art black-box attacks. This is a novel perspective, as
previous research works considered the certification as an unquestionable
guarantee. We first formally highlight the mismatch between a theoretical
certification and the practice of attacks on classifiers. We then perform
attacks on randomized smoothing as a defense. Our main observation is that
there is a major mismatch in the settings of the RS for obtaining high
certified robustness or when defeating black box attacks while preserving the
classifier accuracy.",Randomized Smoothing Defense,
Generating Full Length Wikipedia Biographies: The Impact of Gender Bias on the Retrieval-Based Generation of Women Biographies,"Generating factual, long-form text such as Wikipedia articles raises three
key challenges: how to gather relevant evidence, how to structure information
into well-formed text, and how to ensure that the generated text is factually
correct. We address these by developing a model for English text that uses a
retrieval mechanism to identify relevant supporting information on the web and
a cache-based pre-trained encoder-decoder to generate long-form biographies
section by section, including citation information. To assess the impact of
available web evidence on the output text, we compare the performance of our
approach when generating biographies about women (for which less information is
available on the web) vs. biographies generally. To this end, we curate a
dataset of 1,500 biographies about women. We analyze our generated text to
understand how differences in available web evidence data affect generation. We
evaluate the factuality, fluency, and quality of the generated texts using
automatic metrics and human evaluation. We hope that these techniques can be
used as a starting point for human writers, to aid in reducing the complexity
inherent in the creation of long-form, factual text.",long-form text generation,
Keep Your Friends Close & Enemies Farther: Debiasing Contrastive Learning with Spatial Priors in 3D Radiology Images,"Understanding of spatial attributes is central to effective 3D radiology
image analysis where crop-based learning is the de facto standard. Given an
image patch, its core spatial properties (e.g., position & orientation) provide
helpful priors on expected object sizes, appearances, and structures through
inherent anatomical consistencies. Spatial correspondences, in particular, can
effectively gauge semantic similarities between inter-image regions, while
their approximate extraction requires no annotations or overbearing
computational costs. However, recent 3D contrastive learning approaches either
neglect correspondences or fail to maximally capitalize on them. To this end,
we propose an extensible 3D contrastive framework (Spade, for Spatial
Debiasing) that leverages extracted correspondences to select more effective
positive & negative samples for representation learning. Our method learns both
globally invariant and locally equivariant representations with downstream
segmentation in mind. We also propose separate selection strategies for global
& local scopes that tailor to their respective representational requirements.
Compared to recent state-of-the-art approaches, Spade shows notable
improvements on three downstream segmentation tasks (CT Abdominal Organ, CT
Heart, MR Heart).", 3D contrastive learning,
Euler State Networks: Non-dissipative Reservoir Computing,"Inspired by the numerical solution of ordinary differential equations, in
this paper we propose a novel Reservoir Computing (RC) model, called the Euler
State Network (EuSN). The presented approach makes use of forward Euler
discretization and antisymmetric recurrent matrices to design reservoir
dynamics that are both stable and non-dissipative by construction.
  Our mathematical analysis shows that the resulting model is biased towards a
unitary effective spectral radius and zero local Lyapunov exponents,
intrinsically operating near to the edge of stability. Experiments on long-term
memory tasks show the clear superiority of the proposed approach over standard
RC models in problems requiring effective propagation of input information over
multiple time-steps. Furthermore, results on time-series classification
benchmarks indicate that EuSN is able to match (or even exceed) the accuracy of
trainable Recurrent Neural Networks, while retaining the training efficiency of
the RC family, resulting in up to $\approx$ 490-fold savings in computation
time and $\approx$ 1750-fold savings in energy consumption.",Reservoir Computing,
Improving Pre-trained Language Model Fine-tuning with Noise Stability Regularization,"The advent of large-scale pre-trained language models has contributed greatly
to the recent progress in natural language processing. Many state-of-the-art
language models are first trained on a large text corpus and then fine-tuned on
downstream tasks. Despite its recent success and wide adoption, fine-tuning a
pre-trained language model often suffers from overfitting, which leads to poor
generalizability due to the extremely high complexity of the model and the
limited training samples from downstream tasks. To address this problem, we
propose a novel and effective fine-tuning framework, named Layerwise Noise
Stability Regularization (LNSR). Specifically, we propose to inject the
standard Gaussian noise or In-manifold noise and regularize hidden
representations of the fine-tuned model. We first provide theoretical analyses
to support the efficacy of our method. We then demonstrate the advantages of
the proposed method over other state-of-the-art algorithms including L2-SP,
Mixout and SMART. While these previous works only verify the effectiveness of
their methods on relatively simple text classification tasks, we also verify
the effectiveness of our method on question answering tasks, where the target
problem is much more difficult and more training examples are available.
Furthermore, extensive experimental results indicate that the proposed
algorithm can not only enhance the in-domain performance of the language models
but also improve the domain generalization performance on out-of-domain data.",Language Model Fine-tuning,
Revisiting L1 Loss in Super-Resolution: A Probabilistic View and Beyond,"Super-resolution as an ill-posed problem has many high-resolution candidates
for a low-resolution input. However, the popular $\ell_1$ loss used to best fit
the given HR image fails to consider this fundamental property of
non-uniqueness in image restoration. In this work, we fix the missing piece in
$\ell_1$ loss by formulating super-resolution with neural networks as a
probabilistic model. It shows that $\ell_1$ loss is equivalent to a degraded
likelihood function that removes the randomness from the learning process. By
introducing a data-adaptive random variable, we present a new objective
function that aims at minimizing the expectation of the reconstruction error
over all plausible solutions. The experimental results show consistent
improvements on mainstream architectures, with no extra parameter or computing
cost at inference time.",Super-Resolution,
Neural Mesh-Based Graphics,"We revisit NPBG, the popular approach to novel view synthesis that introduced
the ubiquitous point feature neural rendering paradigm. We are interested in
particular in data-efficient learning with fast view synthesis. We achieve this
through a view-dependent mesh-based denser point descriptor rasterization, in
addition to a foreground/background scene rendering split, and an improved
loss. By training solely on a single scene, we outperform NPBG, which has been
trained on ScanNet and then scene finetuned. We also perform competitively with
respect to the state-of-the-art method SVS, which has been trained on the full
dataset (DTU and Tanks and Temples) and then scene finetuned, in spite of their
deeper neural renderer.",neural rendering,
Applicability limitations of differentiable full-reference image-quality,"Subjective image-quality measurement plays a critical role in the development
of image-processing applications. The purpose of a visual-quality metric is to
approximate the results of subjective assessment. In this regard, more and more
metrics are under development, but little research has considered their
limitations. This paper addresses that deficiency: we show how image
preprocessing before compression can artificially increase the quality scores
provided by the popular metrics DISTS, LPIPS, HaarPSI, and VIF as well as how
these scores are inconsistent with subjective-quality scores. We propose a
series of neural-network preprocessing models that increase DISTS by up to
34.5%, LPIPS by up to 36.8%, VIF by up to 98.0%, and HaarPSI by up to 22.6% in
the case of JPEG-compressed images. A subjective comparison of preprocessed
images showed that for most of the metrics we examined, visual quality drops or
stays unchanged, limiting the applicability of these metrics.",visual-quality metric,
Team Yao at Factify 2022: Utilizing Pre-trained Models and Co-attention Networks for Multi-Modal Fact Verification,"In recent years, social media has enabled users to get exposed to a myriad of
misinformation and disinformation; thus, misinformation has attracted a great
deal of attention in research fields and as a social issue. To address the
problem, we propose a framework, Pre-CoFact, composed of two pre-trained models
for extracting features from text and images, and multiple co-attention
networks for fusing the same modality but different sources and different
modalities. Besides, we adopt the ensemble method by using different
pre-trained models in Pre-CoFact to achieve better performance. We further
illustrate the effectiveness from the ablation study and examine different
pre-trained models for comparison. Our team, Yao, won the fifth prize
(F1-score: 74.585\%) in the Factify challenge hosted by De-Factify @ AAAI 2022,
which demonstrates that our model achieved competitive performance without
using auxiliary tasks or extra information. The source code of our work is
publicly available at
https://github.com/wywyWang/Multi-Modal-Fact-Verification-2021",Misinformation Verification,
Compose & Embellish: Well-Structured Piano Performance Generation via A Two-Stage Approach,"Even with strong sequence models like Transformers, generating expressive
piano performances with long-range musical structures remains challenging.
Meanwhile, methods to compose well-structured melodies or lead sheets (melody +
chords), i.e., simpler forms of music, gained more success. Observing the
above, we devise a two-stage Transformer-based framework that Composes a lead
sheet first, and then Embellishes it with accompaniment and expressive touches.
Such a factorization also enables pretraining on non-piano data. Our objective
and subjective experiments show that Compose & Embellish shrinks the gap in
structureness between a current state of the art and real performances by half,
and improves other musical aspects such as richness and coherence as well.",Music Generation,
Focus-Driven Contrastive Learniang for Medical Question Summarization,"Automatic medical question summarization can significantly help the system to
understand consumer health questions and retrieve correct answers. The Seq2Seq
model based on maximum likelihood estimation (MLE) has been applied in this
task, which faces two general problems: the model can not capture well question
focus and and the traditional MLE strategy lacks the ability to understand
sentence-level semantics. To alleviate these problems, we propose a novel
question focus-driven contrastive learning framework (QFCL). Specially, we
propose an easy and effective approach to generate hard negative samples based
on the question focus, and exploit contrastive learning at both encoder and
decoder to obtain better sentence level representations. On three medical
benchmark datasets, our proposed model achieves new state-of-the-art results,
and obtains a performance gain of 5.33, 12.85 and 3.81 points over the baseline
BART model on three datasets respectively. Further human judgement and detailed
analysis prove that our QFCL model learns better sentence representations with
the ability to distinguish different sentence meanings, and generates
high-quality summaries by capturing question focus.",medical question summarization,
Using Natural Sentences for Understanding Biases in Language Models,"Evaluation of biases in language models is often limited to synthetically
generated datasets. This dependence traces back to the need for a prompt-style
dataset to trigger specific behaviors of language models. In this paper, we
address this gap by creating a prompt dataset with respect to occupations
collected from real-world natural sentences present in Wikipedia. We aim to
understand the differences between using template-based prompts and natural
sentence prompts when studying gender-occupation biases in language models. We
find bias evaluations are very sensitive to the design choices of template
prompts, and we propose using natural sentence prompts for systematic
evaluations to step away from design choices that could introduce bias in the
observations.",Language Models Biases,
Multi Document Reading Comprehension,"Reading Comprehension (RC) is a task of answering a question from a given
passage or a set of passages. In the case of multiple passages, the task is to
find the best possible answer to the question. Recent trials and experiments in
the field of Natural Language Processing (NLP) have proved that machines can be
provided with the ability to not only process the text in the passage and
understand its meaning to answer the question from the passage, but also can
surpass the Human Performance on many datasets such as Standford's Question
Answering Dataset (SQuAD). This paper presents a study on Reading Comprehension
and its evolution in Natural Language Processing over the past few decades. We
shall also study how the task of Single Document Reading Comprehension acts as
a building block for our Multi-Document Reading Comprehension System. In the
latter half of the paper, we'll be studying about a recently proposed model for
Multi-Document Reading Comprehension - RE3QA that is comprised of a Reader,
Retriever, and a Re-ranker based network to fetch the best possible answer from
a given set of passages.",document reading comprehension,
Vega-MT: The JD Explore Academy Translation System for WMT22,"We describe the JD Explore Academy's submission of the WMT 2022 shared
general translation task. We participated in all high-resource tracks and one
medium-resource track, including Chinese-English, German-English,
Czech-English, Russian-English, and Japanese-English. We push the limit of our
previous work -- bidirectional training for translation by scaling up two main
factors, i.e. language pairs and model sizes, namely the \textbf{Vega-MT}
system. As for language pairs, we scale the ""bidirectional"" up to the
""multidirectional"" settings, covering all participating languages, to exploit
the common knowledge across languages, and transfer them to the downstream
bilingual tasks. As for model sizes, we scale the Transformer-Big up to the
extremely large model that owns nearly 4.7 Billion parameters, to fully enhance
the model capacity for our Vega-MT. Also, we adopt the data augmentation
strategies, e.g. cycle translation for monolingual data, and bidirectional
self-training for bilingual and monolingual data, to comprehensively exploit
the bilingual and monolingual data. To adapt our Vega-MT to the general domain
test set, generalization tuning is designed. Based on the official automatic
scores of constrained systems, in terms of the sacreBLEU shown in Figure-1, we
got the 1st place on {Zh-En (33.5), En-Zh (49.7), De-En (33.7), En-De (37.8),
Cs-En (54.9), En-Cs (41.4) and En-Ru (32.7)}, 2nd place on {Ru-En (45.1) and
Ja-En (25.6)}, and 3rd place on {En-Ja(41.5)}, respectively; W.R.T the COMET,
we got the 1st place on {Zh-En (45.1), En-Zh (61.7), De-En (58.0), En-De
(63.2), Cs-En (74.7), Ru-En (64.9), En-Ru (69.6) and En-Ja (65.1)}, 2nd place
on {En-Cs (95.3) and Ja-En (40.6)}, respectively.",multidirectional translation,
